Item_ID,Item_Name1,Department__,Major_Dept,Category,Sub_Category
61281         ,BRENTA,61,CHEESE,ITALIAN TYPE,ITALIAN TYPE-IMPORTED
X61284        ,PONT L`EVEQUE (FRANCE),61,CHEESE,BRIE,BRIE-IMPORTED
61285         ,ST FELICION,61,CHEESE,BRIE,BRIE-IMPORTED
61289         ,CHAUMES,61,CHEESE,BRIE,BRIE-IMPORTED
61290         ,ST NECTAIRE,61,CHEESE,BRIE,BRIE-IMPORTED
X61310        ,EPOISSE,61,CHEESE,BRIE,BRIE-IMPORTED
61327         ,ST ALBRAY (FRANCE),61,CHEESE,BRIE,BRIE-IMPORTED
61328         ,REBLOCHON (FRANCE),61,CHEESE,BRIE,BRIE-IMPORTED
X61329        ,BRILLIAT SAVARIN TRIPLE CREME,61,CHEESE,BRIE,BRIE-IMPORTED
61358         ,IRISH CHEDDAR AGED 12 MONTHS,61,CHEESE,CHEDDAR,CHEDDAR IMPORTED
61376         ,GERMAN TILSITER,61,CHEESE,JACK,JACK-IMPORTED
61408         ,SMOKED CHEDDAR,61,CHEESE,CHEDDAR,CHEDDAR-DOMESTIC
61436         ,VACHERIN MONT DOR,61,CHEESE,BRIE,BRIE-IMPORTED
61443         ,TRUGOLE (ITALIAN SWISS),61,CHEESE,ITALIAN TYPE,ITALIAN TYPE-IMPORTED
61448         ,NATURAL SMOKED GOUDA,61,CHEESE,GOUDA,GOUDA-IMPORTED
61475         ,LIVAROT (FRANCE),61,CHEESE,BRIE,BRIE-IMPORTED
61485         ,WALDER KAS,61,CHEESE,SWISS,SWISS-GRUYERE
61488         ,OLD QUEBEC CHEDDAR,61,CHEESE,CHEDDAR,CHEDDAR IMPORTED
61697         ,CUBED AURICCHIO PROVOLONE,61,CHEESE,VALUE ADDED,VALUE ADDED-CUBES
61707         ,RED LEICESTER (ENGLAND),61,CHEESE,CHEDDAR,CHEDDAR IMPORTED
61725         ,GRATED DOMESTIC PARMESAN,61,CHEESE,ITALIAN TYPE,ITALIAN TYPE-GRATED
61731         ,DARGENTAL,61,CHEESE,BRIE,BRIE-IMPORTED
61837         ,SHREDDED PROVOLONE,61,CHEESE,ITALIAN TYPE,ITALIAN TYPE-PROVOLONE
61873         ,NEW ZEALAND SWISS,61,CHEESE,SWISS,SWISS-IMPORTED
61875         ,FROMAGER DAFFINOIS W BLACK TRUFFLE,61,CHEESE,BRIE,BRIE-IMPORTED
61924         ,SHREDDED AURICCHIO PROVOLONE,61,CHEESE,PROVOLONE,PROVOLONE-SHREDDED
61926         ,SHREDDED PARM REG IN STORE GRATE,61,CHEESE,ITALIAN TYPE,ITALIAN TYPE-GRATED
61702         ,MASCARPONE TORTA,61,CHEESE,VALUE ADDED,VALUE ADDED-TORTAS
61840         ,"MASCARPONE TORTA WLNT, FIG &CHOC",61,CHEESE,VALUE ADDED,VALUE ADDED-TORTAS
61177         ,ARGENTINIAN SARDO,61,CHEESE,ITALIAN TYPE,ITALIAN TYPE-IMPORTED
61248         ,NY SHARP YELLOW CHEDDAR,61,CHEESE,CHEDDAR,CHEDDAR-DOMESTIC
61303         ,EDAM BALLS (DUTCH),61,CHEESE,GOUDA,GOUDA-IMPORTED
61495         ,MAMMOTH WISCONSIN CHEDDAR,61,CHEESE,CHEDDAR,CHEDDAR-DOMESTIC
61561         ,BUTTER KASE (GERMANY),61,CHEESE,GOUDA,GOUDA-IMPORTED
61269         ,GOUDA W/ BASIL & GARLIC,61,CHEESE,GOUDA,GOUDA-IMPORTED
61077         ,EDAM (DUTCH),61,CHEESE,GOUDA,GOUDA-IMPORTED
61082         ,DOUBLE CREME GOUDA (DUTCH),61,CHEESE,GOUDA,GOUDA-IMPORTED
61106         ,WISCONSIN YELLOW CHEDDAR,61,CHEESE,CHEDDAR,CHEDDAR-DOMESTIC
